mouseclick	Duration	hold	release
left	0.604660	1.440509	1.362664
left	0.437714	0.924637	1.404964
left	0.065637	0.656519	0.284242
left	0.300912	1.015213	1.645916
left	0.214264	0.880657	0.704311
left	0.468890	0.783034	0.656894
left	0.679085	0.718553	0.486055
left	0.360871	1.070673	1.738734
left	0.293114	0.797083	1.529889
left	0.206583	1.365335	1.423766
left	0.523820	0.528303	0.400824
left	0.607253	1.475242	0.250962
left	0.594809	0.559121	1.414847
left	0.301523	0.673266	1.128090
left	0.544156	0.778508	0.903989
left	0.530586	0.753541	0.635954
left	0.788605	0.861805	1.773032
left	0.297112	1.394362	0.285164
left	0.976917	0.574291	0.522350
left	0.681078	0.741515	0.691893
left	0.932846	1.241849	1.622005
left	0.730231	0.682925	0.913878
left	0.896992	1.182653	1.959966
left	0.922212	0.590837	1.036970
left	0.926987	1.454945	0.761113
left	0.690839	1.210907	1.171181
left	0.649489	1.051765	1.536065
left	0.403803	0.630651	1.973333
left	0.896342	0.822084	1.470181
left	0.644540	0.585521	1.372193
left	0.622728	0.869693	0.549963
left	0.535282	0.687246	0.553797
left	0.628098	0.626753	0.634528
left	0.410323	0.934912	1.287681
left	0.550147	1.123609	1.485443
left	0.830534	0.500514	1.498530
left	0.399984	0.997868	1.247558
left	0.409618	0.529671	0.103617
left	0.002843	1.415821	1.220685
left	0.559392	1.315405	1.768222
left	0.458442	1.100166	0.149904
left	0.845833	0.749693	1.319390
left	0.247467	0.673656	1.225985
left	0.814395	1.193838	0.157613
left	0.539210	1.475675	1.526450
left	0.294006	1.253161	0.386832
left	0.355767	1.331931	0.540477
left	0.627835	0.998394	0.270689
left	0.025194	0.892216	1.219828
left	0.929612	1.072087	1.218295
left	0.411763	1.052580	1.034054
left	0.957954	1.297209	0.304024
left	0.783035	0.893251	0.347786
left	0.190033	1.239826	1.342679
left	0.098384	1.020380	0.289486
left	0.151843	0.576190	0.698895
left	0.159651	0.637804	0.712960
left	0.539075	1.070852	1.074285
left	0.684175	1.153040	1.096550
left	0.654270	1.216368	1.309624
left	0.012826	0.530682	0.286259
left	0.369112	1.326454	0.760595
left	0.344315	0.753000	0.511295
left	0.555002	0.902071	1.062344
left	0.168680	0.831368	1.673063
left	0.700288	0.557926	1.998403
left	0.411540	0.611675	1.583433
left	0.092118	0.553495	1.457922
left	0.250762	1.348633	1.950376
left	0.212561	0.521534	1.895870
left	0.092970	1.145833	0.692583
left	0.448464	0.987239	0.256711
left	0.671829	0.900188	1.810523
left	0.949883	0.819331	1.048832
left	0.400432	0.519809	1.325574
left	0.428688	0.839597	1.786150
left	0.236327	1.265008	0.167934
left	0.727577	1.125837	1.074866
left	0.072448	1.224229	1.771705
left	0.977763	1.347500	1.681176
left	0.247845	1.413399	0.242571
left	0.835104	1.129332	1.528307
left	0.632003	0.596934	0.128172
left	0.583835	0.568756	1.996720
left	0.649188	1.485466	1.686131
left	0.332056	1.161393	1.916439
left	0.310510	0.684391	1.937479
left	0.833242	0.809548	1.631156
left	0.417326	1.218530	0.872800
left	0.895803	1.458176	0.135555
left	0.791672	0.923553	0.128844
left	0.432698	1.404776	1.725838
left	0.042922	1.159031	0.760932
left	0.503487	1.339947	0.143908
left	0.124364	0.761176	1.686400
left	0.314805	0.507681	1.809525
left	0.370268	0.600199	1.322088
left	0.769889	1.291125	0.598526
left	0.346864	0.714654	1.661977
left	0.351134	1.099194	1.198867
left	0.413581	0.619851	1.832066
left	0.053786	0.728918	0.715931
left	0.350765	0.849289	0.677224
left	0.968746	1.171527	0.495092
left	0.963139	0.802202	1.635088
left	0.134084	1.447760	1.317643
left	0.953259	1.309874	0.445023
left	0.942757	1.331241	1.039893
left	0.855310	1.210744	0.619640
left	0.407633	1.409761	1.894355
left	0.498632	0.788638	1.954201
left	0.452584	0.544991	0.699188
left	0.951906	1.251563	1.118003
left	0.669715	1.365175	0.971880
left	0.578551	0.981530	1.146170
left	0.950623	1.009865	1.510778
left	0.490794	0.566151	0.598732
left	0.925468	0.871487	0.877897
left	0.415752	0.597262	1.813092
left	0.004445	0.773925	0.307683
left	0.855448	0.757055	1.979351
left	0.926411	0.670946	0.677386
left	0.533451	0.676490	1.645822
left	0.705137	0.757208	0.575701
left	0.335094	1.251241	0.109272
left	0.840993	0.729574	0.125243
left	0.949937	1.399371	1.928986
left	0.043000	1.212663	0.197079
left	0.407532	0.975697	0.760190
left	0.040720	1.097566	0.594237
left	0.832856	1.460498	1.879744
left	0.229320	1.220313	1.537316
left	0.450154	0.838977	0.997735
left	0.985994	0.862331	0.574345
left	0.047868	1.289717	1.536799
left	0.657469	0.720999	1.349260
left	0.390842	1.419254	0.384402
left	0.520392	1.265589	0.571547
left	0.455444	1.199789	0.255742
left	0.512272	0.766382	1.281803
left	0.099070	0.640575	0.402487
left	0.944015	1.131477	0.567005
left	0.967505	1.036981	0.742544
left	0.671668	1.337466	1.494324
left	0.502221	0.923474	0.979775
left	0.953045	1.244073	0.964860
left	0.248417	1.219886	0.905034
left	0.742591	1.156848	1.396791
left	0.636791	0.748583	0.835037
left	0.769971	0.626364	0.644612
left	0.511339	0.698562	1.989752
left	0.635953	1.227319	0.883399
left	0.514024	0.631190	1.136645
left	0.845035	0.793284	1.578777
left	0.141779	1.154380	1.299562
left	0.393965	0.501412	1.175147
left	0.887792	0.952483	1.232739
left	0.642835	1.329838	1.639722
left	0.065935	0.581475	0.737484
left	0.490635	1.119030	1.292552
left	0.324644	1.293215	0.259955
left	0.254326	1.187568	0.898413
left	0.022131	0.716997	0.248667
left	0.563844	0.728575	0.798390
left	0.272045	1.400300	1.357477
left	0.445130	1.468745	1.368465
left	0.364400	0.506627	0.491733
left	0.782455	1.266431	1.635659
left	0.287909	1.109950	0.959187
left	0.226510	0.889056	0.569043
left	0.007528	0.653476	0.108530
left	0.909204	0.737841	0.721800
left	0.793157	0.930292	0.936180
left	0.099609	1.284021	1.091950
left	0.102188	1.348287	0.411331
left	0.565404	0.621197	0.623174
left	0.998333	1.429300	0.296248
left	0.210871	0.814590	0.997615
left	0.143267	0.875478	1.406827
left	0.787901	0.532816	0.283139
left	0.334818	1.023107	0.762302
left	0.180272	1.414701	0.799392
left	0.158455	0.591018	0.599981
left	0.394487	0.688955	1.536121
left	0.641364	0.818682	1.293954
left	0.278445	0.836985	1.197189
left	0.428255	0.610490	0.758919
